# Force coefficients
# liftDir    : (0.000000e+00 1.000000e+00 0.000000e+00)
# dragDir    : (1.000000e+00 0.000000e+00 0.000000e+00)
# pitchAxis  : (0.000000e+00 0.000000e+00 1.000000e+00)
# magUInf    : 2.764500e+03
# lRef       : 5.000000e-02
# Aref       : 1.966460e-05
# CofR       : (0.000000e+00 0.000000e+00 0.000000e+00)
#            
# Time       	Cm           	Cd           	Cl           	Cl(f)        	Cl(r)        
1.200048002e-10	-2.045799e-02	1.132967e-02	-2.349909e-02	-3.220753e-02	8.708446e-03
2.640174741e-10	-2.327178e-02	1.287049e-02	-2.673115e-02	-3.663735e-02	9.906205e-03
4.368326829e-10	-2.076331e-02	1.147583e-02	-2.386014e-02	-3.269338e-02	8.833243e-03
6.442109334e-10	-2.070049e-02	1.144412e-02	-2.378574e-02	-3.259335e-02	8.807617e-03
8.930545063e-10	-2.071582e-02	1.145536e-02	-2.380244e-02	-3.261704e-02	8.814605e-03
1.19165192e-09	-2.073700e-02	1.146927e-02	-2.382602e-02	-3.265001e-02	8.823988e-03
1.549904555e-09	-2.076760e-02	1.148801e-02	-2.386054e-02	-3.269786e-02	8.837330e-03
1.979715186e-09	-2.080304e-02	1.150918e-02	-2.390069e-02	-3.275339e-02	8.852699e-03
2.495487943e-09	-2.084176e-02	1.153198e-02	-2.394464e-02	-3.281408e-02	8.869442e-03
3.114287268e-09	-2.088764e-02	1.155874e-02	-2.399681e-02	-3.288605e-02	8.889230e-03
3.856570003e-09	-2.093390e-02	1.158570e-02	-2.404944e-02	-3.295862e-02	8.909180e-03
4.74757486e-09	-2.098577e-02	1.161585e-02	-2.410847e-02	-3.304001e-02	8.931537e-03
5.81658928e-09	-2.103761e-02	1.164604e-02	-2.416742e-02	-3.312131e-02	8.953896e-03
7.099406584e-09	-2.109594e-02	1.167999e-02	-2.423376e-02	-3.321282e-02	8.979057e-03
8.610670806e-09	-2.115418e-02	1.171409e-02	-2.429993e-02	-3.330415e-02	9.004218e-03
1.034084415e-08	-2.121263e-02	1.174846e-02	-2.436625e-02	-3.339575e-02	9.029503e-03
1.22813523e-08	-2.127156e-02	1.178327e-02	-2.443305e-02	-3.348809e-02	9.055037e-03
1.430952201e-08	-2.131252e-02	1.180804e-02	-2.447917e-02	-3.355211e-02	9.072937e-03
1.628485363e-08	-2.134645e-02	1.182875e-02	-2.451728e-02	-3.360509e-02	9.087812e-03
1.822512019e-08	-2.138806e-02	1.185364e-02	-2.456424e-02	-3.367018e-02	9.105938e-03
2.013891138e-08	-2.142277e-02	1.187458e-02	-2.460331e-02	-3.372443e-02	9.121119e-03
2.20305351e-08	-2.146110e-02	1.189749e-02	-2.464656e-02	-3.378438e-02	9.137819e-03
2.391124561e-08	-2.149684e-02	1.191888e-02	-2.468686e-02	-3.384027e-02	9.153415e-03
2.578114744e-08	-2.153254e-02	1.194021e-02	-2.472713e-02	-3.389611e-02	9.168976e-03
2.764389859e-08	-2.156905e-02	1.196196e-02	-2.476834e-02	-3.395322e-02	9.184880e-03
2.950308808e-08	-2.160271e-02	1.198209e-02	-2.480629e-02	-3.400586e-02	9.199568e-03
3.135872271e-08	-2.163691e-02	1.200248e-02	-2.484487e-02	-3.405934e-02	9.214475e-03
3.321435734e-08	-2.167077e-02	1.202265e-02	-2.488307e-02	-3.411231e-02	9.229236e-03
3.50735605e-08	-2.170459e-02	1.204279e-02	-2.492124e-02	-3.416521e-02	9.243975e-03
3.693635285e-08	-2.173913e-02	1.206334e-02	-2.496024e-02	-3.421925e-02	9.259012e-03
3.880275527e-08	-2.177208e-02	1.208301e-02	-2.499742e-02	-3.427079e-02	9.273377e-03
